token,entropy,doc_count,num_esha_categories
adventutes,0.0,0,0
advocat,-0.0,1,1
adzhika,-0.0,1,1
adzuki,1.207518749639422,12,4
ae,1.0,2,2
aegean,1.584962500721156,3,3
aerated,1.0,8,2
aero,0.0,0,0
aerofarms,-0.0,3,1
aeroplane,0.0,0,0
aerosol,1.4591479170272448,6,3
af,1.8365916681089791,9,4
afc,1.0,2,2
affine,0.0,0,0
affinois,-0.0,2,1
affogato,-0.0,1,1
affy,1.2516291673878228,6,3
afg,-0.0,1,1
afghan,-0.0,1,1
afghani,-0.0,1,1
afloat,-0.0,1,1
afredo,0.0,0,0
africa,-0.0,2,1
african,2.462655966408284,37,7
afrika,-0.0,1,1
afritada,-0.0,1,1
afro,-0.0,1,1
afrodisiaco,-0.0,1,1
after,2.399397470347699,16,6
afternoon,1.0,2,2
aftertaste,-0.0,1,1
ag,0.7219280948873623,5,2
again,-0.0,1,1
against,-0.0,1,1
agami,-0.0,3,1
agar,-0.0,1,1
agashi,0.0,0,0
agave,2.6298017961611513,180,12
agavefive,-0.0,1,1
agavi,-0.0,1,1
age,1.0,2,2
aged,2.22128980768317,648,15
agedama,-0.0,1,1
agen,0.8112781244591328,4,2
agend,-0.0,1,1
ages,0.39124356362925566,13,2
agile,1.5219280948873621,5,3
aglio,1.0,2,2
agneau,-0.0,1,1
agnolotti,0.9182958340544896,3,2
agramunt,0.0,0,0
agreena,-0.0,1,1
agria,1.9219280948873623,5,4
agrisicilia,-0.0,1,1
agro,-0.0,1,1
agromonte,1.0,2,2
agrosik,1.584962500721156,3,3
agrucapers,-0.0,1,1
agrumi,-0.0,1,1
agua,0.420026001688088,30,3
aguacate,-0.0,1,1
aguas,0.2974722489192896,19,2
agucas,-0.0,1,1
agur,-0.0,1,1
aguva,-0.0,1,1
agv,1.0,2,2
ah,0.9182958340544896,3,2
aha,-0.0,1,1
ahead,-0.0,1,1
ahh,1.0,2,2
ahhh,-0.0,1,1
ahi,1.5889361435860871,51,7
ahimasa,-0.0,1,1
ahimi,-0.0,1,1
ahimsa,-0.0,1,1
ahold,3.6585632646878232,206,18
ahoy,1.3051448217949737,71,8
ahumados,-0.0,1,1
ai,0.0,0,0
aiali,-0.0,1,1
aid,1.5208397292040448,49,6
aidells,1.701804081515872,34,6
aids,-0.0,1,1
ail,1.0,2,2
aioli,1.1093236172411816,98,8
aiolo,-0.0,1,1
aip,-0.0,1,1
air,3.176082548105083,187,15
airboat,-0.0,1,1
airborne,-0.0,1,1
aires,-0.0,1,1
airheads,0.28639695711595625,20,2
airline,-0.0,1,1
airplane,-0.0,1,1
airplanes,-0.0,2,1
airs,-0.0,4,1
airy,2.6426434808900545,23,8
ait,-0.0,1,1
aj,2.0,4,4
ajbap,-0.0,1,1
ajenjo,0.0,0,0
aji,2.3042292966721747,32,9
ajinomoto,1.5,4,3
ajipon,-0.0,1,1
ajishima,-0.0,3,1
ajo,2.4193819456463714,9,6
ajonjoli,1.584962500721156,3,3
ajvar,0.4537163391869448,21,2
ajver,-0.0,5,1
ajwa,0.0,0,0
ajwain,-0.0,1,1
ajwar,-0.0,1,1
ajweh,0.0,0,0
ak,-0.0,1,1
aka,1.0,2,2
akamiso,-0.0,1,1
akara,-0.0,2,1
akaroa,-0.0,1,1
akaushi,-0.0,2,1
akawi,0.0,0,0
akawie,0.0,0,0
akesson,-0.0,1,1
akhdar,0.0,0,0
akiyama,-0.0,8,1
akkent,-0.0,1,1
akoma,-0.0,1,1
akora,-0.0,1,1
aku,0.0,0,0
al,3.3504752319716813,84,17
ala,1.9508257945180887,12,5
alabama,1.2987949406953985,8,3
alacena,-0.0,1,1
aladdin,1.0,2,2
aladin,-0.0,1,1
alaea,-0.0,1,1
alaga,-0.0,2,1
alain,-0.0,1,1
alamagordo,-0.0,1,1
alamang,1.0,2,2
alamo,-0.0,1,1
alantic,-0.0,1,1
alapeno,-0.0,1,1
alarm,1.664497779200461,7,4
alaska,0.7439166743139178,178,8
alaskan,0.5641769465616975,212,7
alazan,0.0,0,0
alba,-0.0,2,1
albacore,1.6130584717272198,361,10
albahaca,0.8112781244591328,4,2
albanese,-0.0,7,1
albans,-0.0,1,1
albert,0.7219280948873623,5,2
alberts,-0.0,2,1
albertson,0.9182958340544896,3,2
albice,-0.0,1,1
albicocca,-0.0,1,1
albondigas,-0.0,1,1
albrecht,1.2516291673878228,6,3
album,-0.0,2,1
albunnies,0.0,0,0
alcachofa,-0.0,2,1
alcaparrado,0.9182958340544896,15,2
alcapurria,-0.0,1,1
alchemy,-0.0,2,1
alcohol,1.5744174271404585,14,4
alcoholic,1.956374884203514,169,8
alden,1.2516291673878228,6,3
alder,1.0,4,2
alderwood,1.5304930567574826,9,3
aldi,1.0,2,2
ale,0.9745587262086353,488,15
alef,-0.0,2,1
alehouse,-0.0,1,1
aleias,-0.0,1,1
alejandro,0.0,0,0
alemana,-0.0,1,1
aleo,-0.0,1,1
aleppo,1.584962500721156,3,3
alert,-0.0,2,1
alessi,2.3012364457604484,31,9
aleta,0.0,0,0
alexander,-0.0,5,1
alexandra,-0.0,2,1
alexia,2.075074223172834,19,6
alexian,-0.0,2,1
alfajor,-0.0,2,1
alfajores,-0.0,7,1
alfalfa,1.4591479170272446,6,3
alfez,-0.0,1,1
alfonso,-0.0,3,1
alforno,-0.0,1,1
alfredo,2.2065311118193214,774,12
algae,1.4182958340544896,12,4
algal,-0.0,1,1
algarroba,-0.0,1,1
algarve,-0.0,1,1
algood,-0.0,2,1
alhambra,-0.0,1,1
ali,0.9182958340544896,6,2
alicante,-0.0,2,1
alices,-0.0,1,1
aliens,-0.0,3,1
align,-0.0,1,1
alike,0.0,0,0
alimentary,-0.0,2,1
alimenticia,-0.0,2,1
alimentum,-0.0,1,1
alinentare,0.0,0,0
alino,-0.0,1,1
alive,1.896240625180289,12,5
alkali,-0.0,4,1
alkaline,0.08283655281361223,97,2
alkalized,0.0,0,0
alkalizing,-0.0,1,1
alkanater,-0.0,2,1
alkeme,-0.0,1,1
all,3.763485140108471,2564,23
alla,2.014279995631098,49,8
allan,-0.0,5,1
alle,-0.0,1,1
allegro,1.5219280948873621,5,3
allen,1.584962500721156,3,3
allenocciole,-0.0,1,1
allens,1.0,2,2
allergen,1.0,2,2
allergy,1.0,2,2
allerlei,-0.0,1,1
alley,-0.0,1,1
allgood,-0.0,1,1
alliance,-0.0,1,1
allied,-0.0,3,1
alligator,1.9609640474436814,10,5
alligators,-0.0,4,1
allioli,0.0,0,0
allison,-0.0,4,1
allpurpose,-0.0,1,1
allqua,-0.0,2,1
allsort,-0.0,2,1
allsorts,-0.0,34,1
allspice,1.311278124459133,16,5
allstar,-0.0,2,1
allulose,0.5916727785823275,7,2
allure,0.0,0,0
ally,1.0,2,2
alm,-0.0,1,1
alma,-0.0,1,1
almandine,1.0,2,2
almd,-0.0,1,1
almdudler,-0.0,1,1
almendra,-0.0,1,1
almendras,-0.0,1,1
almendro,-0.0,1,1
almenrica,-0.0,1,1
almetta,1.0,2,2
almnd,-0.0,1,1
almods,0.0,0,0
almojabana,-0.0,1,1
almojabanas,0.0,0,0
almomd,-0.0,1,1
almomnd,-0.0,1,1
almond,2.8821000403983597,4637,24
almondine,2.197159723424149,9,5
almondmilk,1.2348419060074718,553,11
almondra,-0.0,1,1
almonds,2.221009257695315,5230,23
almondsand,-0.0,1,1
almonduo,-0.0,1,1
almonette,0.7219280948873623,5,2
almonmilk,-0.0,1,1
almons,-0.0,1,1
almonta,-0.0,2,1
almontte,0.0,0,0
almost,-0.0,1,1
alo,-0.0,3,1
aloe,0.3356664767726966,425,6
aloev,-0.0,1,1
aloevine,-0.0,3,1
aloha,3.066974175019708,35,10
alohamacs,0.7219280948873623,5,2
aloli,-0.0,1,1
alomnds,0.0,0,0
alone,1.0,2,2
along,1.584962500721156,3,3
alongside,-0.0,1,1
aloo,2.1709505944546685,10,5
alouette,0.7219280948873623,5,2
alovera,-0.0,1,1
alp,-0.0,1,1
alpen,1.0,2,2
alpenhaus,-0.0,2,1
alpenrose,-0.0,1,1
alpha,1.1488348542809166,7,3
alphabet,2.1925950047598812,31,8
alphabets,0.3227569588973982,17,2
alphabettios,-0.0,1,1
alphaland,-0.0,1,1
alphatots,0.0,0,0
alphonso,1.8417062775743138,25,5
alpina,1.1771245697587873,25,4
alpine,2.3485458810132807,53,10
alpini,-0.0,1,1
alpino,-0.0,3,1
alps,-0.0,1,1
alram,0.0,0,0
already,-0.0,1,1
alrnonds,0.0,0,0
alsa,0.0,0,0
alsace,0.0,0,0
also,0.0,0,0
alstertor,-0.0,1,1
alt,-0.0,1,1
alta,1.584962500721156,6,3
altar,-0.0,1,1
alter,0.9219280948873623,10,3
altering,0.0,0,0
alternate,-0.0,2,1
alternative,2.2276444535306634,444,18
alternatives,0.0,0,0
altitude,-0.0,1,1
altius,-0.0,1,1
alto,0.9182958340544896,3,2
altoids,0.0,0,0
altos,-0.0,2,1
alu,0.0,0,0
alubias,-0.0,3,1
alueberry,-0.0,1,1
aluminum,0.48591575216464866,58,3
alumuinum,0.0,0,0
alwadi,-0.0,1,1
always,2.710777084415067,18,8
alyssa,0.0,0,0
am,-0.0,1,1
amaaazing,-0.0,1,1
amabile,-0.0,1,1
amablu,-0.0,1,1
amacado,-0.0,1,1
amaerican,-0.0,1,1
amal,0.0,0,0
amalfi,2.0,4,4
amalia,-0.0,1,1
aman,-0.0,1,1
amande,-0.0,1,1
amandes,1.0,2,2
amandine,1.0,2,2
amani,-0.0,1,1
amann,0.9182958340544896,3,2
amano,-0.0,8,1
amanoya,-0.0,1,1
amarant,0.0,0,0
amaranth,2.514061566315004,87,11
amaranto,0.0,0,0
amarena,2.038159681645953,13,5
amaretti,1.5919171866886992,16,4
amarettini,-0.0,1,1
amaretto,2.3206164748595897,66,11
amargo,-0.0,1,1
amarilla,0.0,0,0
amarillas,2.0,4,4
amarillo,2.9140163035068447,23,9
amarillos,-0.0,1,1
amarnth,0.0,0,0
amatirciana,0.0,0,0
amatller,-0.0,2,1
amatriciana,-0.0,1,1
amaz,1.0,2,2
amazake,-0.0,2,1
amaze,-0.0,1,1
amazin,1.9219280948873623,5,4
amazing,3.3192536223425355,70,13
amazingly,-0.0,1,1
amazon,-0.0,7,1
amazonas,2.4359092416655557,23,6
amazonia,-0.0,4,1
amazonian,0.0,0,0
amazoo,-0.0,1,1
amba,-0.0,2,1
ambassador,1.0,2,2
ambateno,-0.0,1,1
amber,1.823508792833033,63,8
amberjack,0.0,0,0
amberye,-0.0,3,1
ambiance,1.0,2,2
ambient,0.7219280948873623,5,2
ambition,-0.0,6,1
ambriola,-0.0,2,1
ambrosi,-0.0,1,1
ambrosia,0.8112781244591328,4,2
ambrosial,-0.0,1,1
ambrosoli,-0.0,2,1
ambrotos,-0.0,1,1
amchar,-0.0,1,1
amchur,-0.0,1,1
amd,1.0,2,2
amelia,-0.0,1,1
amello,0.0,0,0
amer,1.0,2,2
amercian,-0.0,2,1
ameretto,-0.0,1,1
ameri,-0.0,2,1
america,2.912049713149302,108,12
americakes,-0.0,1,1
american,2.203674955921769,1188,23
americana,2.1709505944546685,10,5
americano,2.610577243331642,14,7
americas,-0.0,1,1
americone,1.5,4,3
amestec,-0.0,1,1
amfissa,-0.0,2,1
amhur,-0.0,1,1
ami,0.0,0,0
amid,-0.0,1,1
amigas,-0.0,1,1
amigos,1.5,4,3
amin,-0.0,13,1
amind,-0.0,1,1
amino,-0.0,2,1
aminos,1.731360029190912,17,6
amir,1.0,2,2
amira,0.9182958340544896,3,2
amish,2.8811143927156695,94,11
amishstyle,-0.0,1,1
amity,-0.0,3,1
amla,1.0,2,2
amma,-0.0,1,1
amnon,-0.0,1,1
among,1.9182958340544893,6,4
amooretto,-0.0,1,1
amor,1.0,2,2
amore,2.528858734565074,40,9
amorepacific,0.9182958340544896,3,2
amoretti,0.0,0,0
amory,-0.0,3,1
amos,0.9933927290103626,16,4
amoul,0.0,0,0
amount,-0.0,1,1
amounts,1.3709505944546687,5,3
amour,0.0,0,0
amoy,-0.0,2,1
amp,0.8166890883150209,12,3
amped,0.0,0,0
amphora,1.0,2,2
amplify,-0.0,1,1
amport,2.038760752862686,19,6
amti,1.0,2,2
amucc,-0.0,1,1
amy,2.653146738289453,23,8
amylu,-0.0,3,1
anabar,-0.0,1,1
anadama,-0.0,1,1
anaheim,2.2516291673878226,6,5
anais,-0.0,1,1
analog,0.0,0,0
ananda,-0.0,2,1
anasazi,0.8112781244591328,4,2
anastasia,-0.0,1,1
ancel,-0.0,2,1
ancestral,-0.0,3,1
ancho,2.537790776835246,86,13
anchoa,-0.0,1,1
anchor,1.584962500721156,3,3
anchors,-0.0,1,1
anchovies,0.7412177741612198,58,3
anchovy,1.5958900003862124,31,7
ancient,2.8619250977270894,395,22
ancinet,-0.0,1,1
anco,-0.0,1,1
andalucian,0.0,0,0
andalusia,-0.0,1,1
andalusian,-0.0,1,1
andean,2.1492799881316267,19,5
anderson,2.793345194191516,17,8
andes,1.4885252948977485,13,4
andinas,-0.0,1,1
andouilie,-0.0,1,1
andouille,1.0838715802486454,132,7
andoville,-0.0,2,1
andre,-0.0,1,1
andres,2.4193819456463714,9,6
andrew,0.7219280948873623,5,2
ands,-0.0,1,1
andy,1.882856063692049,16,4
anecio,-0.0,1,1
anejo,-0.0,1,1
anellini,0.0,0,0
aneto,0.0,0,0
anette,1.0,2,2
ang,-0.0,1,1
angel,2.1139383107037606,354,11
angela,1.3127443531093745,21,3
angeles,-0.0,2,1
angelic,-0.0,1,1
angelica,0.0,0,0
angelina,-0.0,2,1
angelino,0.0,0,0
angelita,-0.0,1,1
angelo,1.5589385323502771,15,5
angels,-0.0,1,1
anger,-0.0,1,1
angie,1.610577243331642,14,4
angies,1.0,2,2
angle,-0.0,1,1
angler,-0.0,1,1
angonoa,1.5219280948873621,5,3
angry,1.867633890971212,11,4
angus,1.3179508157079178,346,10
anguscc6oz,-0.0,1,1
animal,1.6771711640272744,294,13
animalicious,-0.0,1,1
animalitos,-0.0,5,1
animals,0.8997437586982626,19,2
animated,-0.0,1,1
anis,-0.0,1,1
anisa,0.5916727785823275,7,2
anise,2.1928585360633677,45,7
aniseed,1.0,2,2
anisette,0.7219280948873623,5,2
anjou,1.1488348542809166,7,3
anka,-0.0,1,1
ann,2.606208894402435,22,8
anna,2.063558608511122,17,5
annapurna,-0.0,1,1
annato,0.0,0,0
annatto,0.6746799231474564,30,3
anne,2.3685225277282065,11,6
annie,2.8426204294873645,313,13
annies,3.0549537379029337,36,12
anniversary,1.0,2,2
annoucement,-0.0,1,1
another,0.29643163178752324,47,3
ansie,-0.0,1,1
ansung,-0.0,2,1
answers,-0.0,8,1
antelope,0.0,0,0
antep,-0.0,1,1
anthony,0.7732283485249176,13,3
anti,1.7527152789797045,9,4
antibiotic,1.061278124459133,8,3
antibiotics,1.9219280948873623,5,4
antica,0.9182958340544896,3,2
antidote,-0.0,1,1
antiox,-0.0,1,1
antioxidant,1.8808816548060436,199,12
antioxidants,2.251082955096605,79,9
antipasti,2.2810361125534238,9,5
antipasto,2.1068498310513366,58,7
antipastro,-0.0,1,1
antipesto,1.0,2,2
antipodes,-0.0,2,1
antique,1.0,2,2
antiu,-0.0,2,1
antiwater,-0.0,1,1
antlers,-0.0,1,1
antojitos,-0.0,1,1
antojos,0.0,0,0
antoncanadian,-0.0,1,1
antonina,2.2359263506290326,7,5
antonio,1.0,2,2
antuzzi,-0.0,1,1
anutter,-0.0,1,1
anxiety,0.0,0,0
any,2.503258334775646,9,6
anya,-0.0,1,1
anything,0.9182958340544896,6,2
anytime,2.8346726891154717,31,11
anytimers,1.3787834934861753,7,3
anzac,0.9182958340544896,3,2
aop,-0.0,7,1
aoshiso,-0.0,1,1
ap,-0.0,2,1
apanese,-0.0,1,1
apart,1.758842712835596,21,7
aparts,2.0,4,4
ape,0.9182958340544896,3,2
apearantly,-0.0,1,1
aperitif,0.9709505944546686,5,2
aperitivo,-0.0,1,1
apfelstrudel,0.0,0,0
apinya,-0.0,4,1
apitherapy,-0.0,3,1
apizza,1.9182958340544893,6,4
apl,1.5709505944546687,10,4
aples,-0.0,1,1
aplets,0.7219280948873623,5,2
aplle,-0.0,2,1
aplpe,-0.0,1,1
aplsmk,0.0,0,0
apocalypse,-0.0,2,1
apollo,1.0,2,2
apoy,-0.0,1,1
app,1.0,2,2
appalachian,-0.0,1,1
appe,1.0,2,2
appetaggio,-0.0,3,1
appetit,2.556656707462823,14,8
appetite,-0.0,3,1
appetizer,3.269636181173717,62,14
appetizers,1.6121581271436185,28,6
appile,-0.0,1,1
appl,0.0,0,0
applause,0.8166890883150209,12,3
apple,2.944619710929108,7266,24
appleapple,1.0,2,2
applebanana,0.0,0,0
appleberry,-0.0,1,1
applebutter,0.0,0,0
appleby,-0.0,2,1
applecinnamon,0.0,0,0
appleclusters,0.0,0,0
appleesauce,0.0,0,0
applegate,0.9709505944546686,5,2
applegrape,0.0,0,0
applehead,-0.0,1,1
appleooz,-0.0,1,1
appleos,-0.0,1,1
applepeach,0.0,0,0
apples,2.8093334233663962,767,18
applesauce,1.0227113531952199,229,8
applesin,-0.0,2,1
applesnax,0.9182958340544896,3,2
applestack,-0.0,1,1
applesuace,0.0,0,0
appletastic,1.0,2,2
appletini,0.0,0,0
appleways,1.0907716396012057,37,4
applewodd,-0.0,1,1
applewodo,-0.0,1,1
applewood,2.0052779433708725,510,14
appley,0.9182958340544896,3,2
applicable,0.0,0,0
applied,-0.0,1,1
appll,-0.0,1,1
appplesauce,0.0,0,0
appricot,-0.0,1,1
approved,-0.0,1,1
approx,1.3250112108241772,12,3
aprct,-0.0,1,1
apread,-0.0,1,1
apres,-0.0,1,1
apricor,0.0,0,0
apricot,2.8124570738531207,496,18
apricots,2.402048005475884,182,12
apricoty,-0.0,1,1
aprikosen,0.0,0,0
apriva,-0.0,1,1
apron,0.8112781244591328,4,2
aprons,-0.0,1,1
apsce,0.0,0,0
apteczny,-0.0,1,1
apulian,-0.0,1,1
aqa,-0.0,3,1
aqfs,0.0,0,0
aqua,1.7960885595978366,18,5
aquaball,-0.0,1,1
aquaculture,-0.0,1,1
aquafaba,-0.0,1,1
aquafina,-0.0,3,1
aquafresh,-0.0,5,1
aquafusion,0.6500224216483541,6,2
aqualife,-0.0,1,1
aquaman,-0.0,1,1
aquamin,-0.0,2,1
aquarius,-0.0,1,1
aquation,-0.0,2,1
aquazero,-0.0,2,1
ar,-0.0,1,1
ara,0.0,0,0
arabian,1.5,4,3
arabic,0.9182958340544896,3,2
arabica,1.5430976935436238,198,8
arabiki,-0.0,2,1
arame,-0.0,1,1
aramingo,-0.0,1,1
aramouni,2.2312702546075758,11,5
arancia,-0.0,9,1
aranciata,-0.0,16,1
arancini,0.5435644431995964,8,2
aranitas,-0.0,1,1
arare,1.061278124459133,8,3
arbequina,0.7219280948873623,10,2
arbo,-0.0,1,1
arbol,1.653344649898656,35,6
arbool,-0.0,1,1
arbor,-0.0,3,1
arboria,-0.0,1,1
arborio,0.8727611506646193,82,4
arby,-0.0,1,1
arc,0.4394969869215134,11,2
arcadia,0.0,0,0
arcadian,-0.0,1,1
arch,-0.0,1,1
archer,1.8365916681089791,9,4
archetti,-0.0,1,1
archway,1.5589385323502771,15,5
arco,-0.0,1,1
arcobaleno,-0.0,1,1
arcoiris,0.954434002924965,8,2
arcor,-0.0,1,1
arctic,1.8847507516094524,62,6
ardamom,-0.0,1,1
arden,-0.0,3,1
ardenne,1.836591668108979,9,4
are,2.375,16,8
area,-0.0,1,1
aren,-0.0,1,1
arepa,2.270942421748537,14,5
arepas,1.2406705316766884,11,3
arepitas,0.0,0,0
argabio,-0.0,1,1
argalight,-0.0,1,1
argan,0.9957274520849255,13,2
argentina,1.5,4,3
argentine,1.0024735775103677,55,6
argentinian,2.836591668108979,18,8
argentino,-0.0,2,1
argires,-0.0,1,1
argo,0.8112781244591328,4,2
arheon,1.584962500721156,3,3
ariel,1.4355205042826666,9,3
arigato,-0.0,2,1
aril,-0.0,1,1
arils,0.954434002924965,24,2
arisan,-0.0,1,1
arisebakery,-0.0,2,1
ariza,-0.0,1,1
arizona,2.3043602500376195,50,9
arkansan,-0.0,1,1
arkansas,-0.0,1,1
arm,1.5219280948873621,5,3
armadillo,0.0,0,0
armagnac,1.0,2,2
armenian,1.6858157091530304,11,4
armless,0.0,0,0
armoniche,-0.0,1,1
armour,1.785174447128411,30,5
arms,-0.0,9,1
armstrong,-0.0,2,1
army,1.3709505944546687,5,3
arnaud,0.7219280948873623,5,2
arnica,0.0,0,0
arnie,1.5219280948873621,5,3
arnold,1.6577427265048887,9,4
arnott,0.9852281360342515,7,2
aroma,1.4591479170272448,6,3
aromas,-0.0,1,1
aromasong,-0.0,1,1
aromatic,3.2156361866158645,68,13
aromaticas,-0.0,1,1
aromatics,-0.0,1,1
aronia,1.578897902987479,20,5
arora,-0.0,1,1
around,2.4193819456463714,9,6
aroy,2.1556390622295662,8,5
arrabbiata,0.9942139346340303,139,7
arrabbiatta,-0.0,1,1
arrabiata,-0.0,4,1
arrabiatta,0.7219280948873623,5,2
array,1.0,2,2
arriabiata,-0.0,1,1
arriba,2.1180782093497093,11,5
arrisan,-0.0,1,1
arrocero,-0.0,1,1
arrostito,-0.0,1,1
arrow,2.0,4,4
arrowhead,1.5408072197905878,23,5
arrowroot,0.6500224216483541,6,2
arrows,-0.0,4,1
arrowtooth,-0.0,6,1
arroz,1.7821867602485988,21,4
arrrs,-0.0,2,1
art,1.5545851693377997,12,3
artar,-0.0,1,1
artemisia,-0.0,2,1
artesanal,-0.0,1,1
artesania,1.0,2,2
artesano,0.8112781244591328,4,2
artesian,0.16866093149667025,40,2
artful,-0.0,1,1
arthur,2.0,4,4
artibonite,-0.0,1,1
artic,-0.0,1,1
artica,-0.0,3,1
artican,0.0,0,0
artichoke,2.243421546338376,677,15
artichokes,2.068097789032628,110,9
artichokkes,-0.0,1,1
artichole,-0.0,1,1
articially,-0.0,1,1
artificall,-0.0,1,1
artificial,2.864367196171384,83,13
artificially,2.4547037628653463,167,17
artigianale,1.0,2,2
artigianali,-0.0,1,1
artigiani,0.0,0,0
artigiano,-0.0,2,1
artisan,3.042429391756426,1106,22
artisanal,3.315750144244229,156,17
artisans,-0.0,1,1
artisian,1.5,4,3
artisianal,-0.0,2,1
artisinal,-0.0,1,1
artist,2.467720100474499,14,6
artuso,-0.0,1,1
aruba,-0.0,1,1
arucula,-0.0,1,1
arugula,1.8084691544622986,134,11
aruj,-0.0,1,1
asada,2.5970609299112506,51,9
