item,unit,grams_per_unit,portion_label,display_contains,display_excludes,evidence,reason
hot pepper sauce,dash,0.6,reviewed dash from SR28 tsp,,,SR28 174527 pepper/hot sauce tsp=4.7g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
prepared mustard,tbsp,15.0,reviewed tbsp from SR28 tsp/cup,,,SR28 172234 prepared mustard tsp=5g and cup=249g,derived_from_sr28_adjacent_portions
dijon mustard,tbsp,15.0,reviewed tbsp from prepared mustard density,,,SR28 172234 prepared mustard tsp=5g and cup=249g,derived_from_sr28_adjacent_portions
dry white wine,cup,235.2,reviewed cup from SR28 fl oz,,,SR28 174837 white table wine fl oz=29.4g,derived_from_sr28_adjacent_portions
white wine,cup,235.2,reviewed cup from SR28 fl oz,,,SR28 174837 white table wine fl oz=29.4g,derived_from_sr28_adjacent_portions
red wine,cup,235.2,reviewed cup from SR28 fl oz,,,SR28 173190 red table wine fl oz=29.4g,derived_from_sr28_adjacent_portions
oatmeal,cup,80.0,reviewed rolled oats cup,,,Corpus modal for recipe oatmeal cup is 80g; SR28 bridge points to baby cereal for this item,reviewed_household_default
celery salt,tsp,5.0,reviewed celery salt tsp,,,Corpus modal for celery salt tsp is 5g; no exact SR28 celery salt food,reviewed_household_default
celery salt,tbsp,15.0,reviewed celery salt tbsp,,,Derived from reviewed celery salt tsp=5g,reviewed_household_default
dried onion flakes,tbsp,8.0,reviewed dried onion flakes tbsp,,,Corpus modal for dried onion flakes tbsp is 8g; no exact SR28 food,reviewed_household_default
dried onion flakes,tsp,2.7,reviewed dried onion flakes tsp,,,Derived from reviewed dried onion flakes tbsp=8g,reviewed_household_default
ground nutmeg,dash,0.3,reviewed dash from SR28 tsp,,,SR28 171326 Nutmeg tsp=2.2g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
raisins,tbsp,9.1,reviewed tbsp from SR28 cup,,,SR28 168166 Raisins cup not packed=145g,derived_from_sr28_adjacent_portions
pine nuts,tbsp,8.4,reviewed tbsp from SR28 cup,,,SR28 170591 Pine nuts cup=135g,derived_from_sr28_adjacent_portions
hot sauce,dash,0.6,reviewed dash from SR28 tsp,,,SR28 174527 pepper/hot sauce tsp=4.7g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
lime zest,tsp,2.0,reviewed lime zest tsp,,,No exact SR28 lime peel food; corpus modal for lime zest tsp is 2g,reviewed_household_default
paprika,dash,0.3,reviewed dash from SR28 tsp,,,SR28 171329 Paprika tsp=2.3g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
ground cinnamon,dash,0.3,reviewed dash from SR28 tsp,,,SR28 171320 Cinnamon tsp=2.6g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
sesame seeds,tsp,3.0,reviewed tsp from SR28 tbsp,,,SR28 170150 Sesame seeds tbsp=9g,derived_from_sr28_adjacent_portions
breadcrumbs,tbsp,6.8,reviewed tbsp from SR28 cup,,,SR28 174928 Bread crumbs cup=108g,derived_from_sr28_adjacent_portions
mustard,tbsp,15.0,reviewed tbsp from prepared mustard density,,,SR28 172234 prepared mustard tsp=5g and cup=249g,derived_from_sr28_adjacent_portions
semi-sweet chocolate chips,cup,170.0,reviewed chocolate chips cup,,,Common baking measure and corpus modal: 3/4 cup clusters near 128-130g; default 170g per cup,reviewed_household_default
ice cubes,cup,140.0,reviewed cup ice cubes,,,Typical 1 cup ice cubes is about 140g,reviewed_household_default
crushed ice,cup,120.0,reviewed cup crushed ice,,,Corpus modal for crushed ice cup is 120g,reviewed_household_default
light brown sugar,tbsp,13.8,reviewed tbsp packed/default,,,SR28 168833 brown sugar tsp packed=4.6g and cup packed=220g,derived_from_sr28_adjacent_portions
dark brown sugar,tbsp,13.8,reviewed tbsp packed/default,,,SR28 168833 brown sugar tsp packed=4.6g and cup packed=220g,derived_from_sr28_adjacent_portions
ghee,tbsp,14.0,reviewed ghee tbsp,,,Ghee uses butter-like tablespoon mass; corpus modal for ghee tbsp is 14g,reviewed_household_default
black peppercorns,tbsp,8.7,reviewed tbsp from SR28 whole tsp,,,SR28 170931 black pepper tsp whole=2.9g,derived_from_sr28_adjacent_portions
peppercorns,tbsp,8.7,reviewed tbsp from SR28 whole tsp,,,SR28 170931 black pepper tsp whole=2.9g,derived_from_sr28_adjacent_portions
cornflour,tbsp,8.0,reviewed tbsp from SR28 cornstarch cup,,,SR28 169698 Cornstarch cup=128g,derived_from_sr28_adjacent_portions
cornflour,tsp,2.7,reviewed tsp from SR28 cornstarch cup,,,SR28 169698 Cornstarch cup=128g,derived_from_sr28_adjacent_portions
lemon extract,tsp,4.2,reviewed extract tsp,,,SR28 173471 Vanilla extract tsp=4.2g; used for extract density only,derived_from_sr28_adjacent_portions
maple syrup,cup,315.0,SR28 cup,,,SR28 169661 Syrups maple cup=315g,explicit_sr28_portion
vanilla ice cream,quart,528.0,reviewed quart from SR28 half-cup serving,,,SR28 167575 Vanilla ice cream serving 1/2 cup=66g; quart=8 half-cups,derived_from_sr28_adjacent_portions
cajun seasoning,tbsp,6.0,reviewed spice blend tbsp,,,No exact SR28 food; corpus modal for Cajun seasoning tbsp is 6g,reviewed_household_default
cajun seasoning,tsp,2.0,reviewed spice blend tsp,,,Derived from reviewed Cajun seasoning tbsp=6g,reviewed_household_default
orzo pasta,cup,170.0,reviewed cooked orzo cup,,,Corpus modal for recipe orzo pasta cup is 170g,reviewed_household_default
sliced almonds,tbsp,7.0,reviewed sliced almonds tbsp,,,Corpus modal for sliced almonds 2 tbsp is 14g,reviewed_household_default
mustard seeds,tbsp,6.3,reviewed mustard seed tbsp,,,SR28 170929 ground mustard seed tbsp=6.3g; used as closest SR28 seed density,derived_from_sr28_adjacent_portions
broccoli,cup,91.0,reviewed broccoli florets cup,,,Corpus modal for broccoli/florets cup is about 90-91g,reviewed_household_default
golden syrup,tbsp,21.0,reviewed tbsp from SR28 cane syrup serving,,,SR28 167743 Cane syrup serving=21g,derived_from_sr28_adjacent_portions
garlic salt,tsp,6.0,reviewed garlic salt tsp,,,Corpus modal for garlic salt tsp is 6g; no exact SR28 garlic salt food,reviewed_household_default
garlic salt,tbsp,18.0,reviewed garlic salt tbsp,,,Derived from reviewed garlic salt tsp=6g,reviewed_household_default
cool whip,cup,75.0,SR28 whipped topping cup,,,SR28 170868 Dessert topping semi solid frozen cup=75g,explicit_sr28_portion
lemon pepper,tsp,2.5,reviewed lemon pepper tsp,,,Corpus modal and adjacent pepper-seasoning densities support about 2.5g per tsp,reviewed_household_default
white pepper,dash,0.3,reviewed dash from SR28 tsp,,,SR28 170933 white pepper tsp ground=2.4g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
old bay seasoning,tbsp,6.0,reviewed seafood seasoning tbsp,,,No exact SR28 food; corpus modal for Old Bay seasoning tbsp is 6g,reviewed_household_default
old bay seasoning,tsp,2.0,reviewed seafood seasoning tsp,,,Derived from reviewed Old Bay seasoning tbsp=6g,reviewed_household_default
cornmeal,tbsp,9.8,reviewed tbsp from SR28 cup,,,SR28 168867 cornmeal cup=157g,derived_from_sr28_adjacent_portions
milk,quart,976.0,reviewed milk quart,,,US customary quart milk is about 976g,reviewed_household_default
instant coffee,tbsp,3.0,reviewed tbsp from SR28 tsp,,,SR28 171893 instant coffee powder tsp=1g,derived_from_sr28_adjacent_portions
instant coffee granules,tbsp,3.0,reviewed tbsp from SR28 tsp,,,SR28 171893 instant coffee powder tsp=1g,derived_from_sr28_adjacent_portions
instant coffee powder,tbsp,3.0,reviewed tbsp from SR28 tsp,,,SR28 171893 instant coffee powder tsp=1g,derived_from_sr28_adjacent_portions
splenda sugar substitute,tbsp,12.0,reviewed granular sucralose tbsp,,,Corpus modal for Splenda sugar substitute 2 tbsp is 24g,reviewed_household_default
xanthan gum,tsp,3.0,reviewed xanthan gum tsp,,,Common xanthan gum tsp is about 3g and corpus secondary mode is 3g,reviewed_household_default
mixed spice,tsp,2.0,reviewed spice blend tsp,,,Corpus modal for mixed spice tsp is 2g,reviewed_household_default
taco seasoning,tbsp,8.6,reviewed tbsp from SR28 2 tsp,,,SR28 172243 taco seasoning 2 tsp=5.7g,derived_from_sr28_adjacent_portions
greek yogurt,cup,245.0,reviewed Greek yogurt cup,,,Adjacent SR28 yogurt cup portions are 243-245g; corpus modal is 240-245g,derived_from_sr28_adjacent_portions
shredded cheese,cup,113.0,SR28 cheddar cup shredded,,,SR28 173414 cheddar cup shredded=113g,explicit_sr28_portion
whipped topping,cup,75.0,SR28 whipped topping cup,,,SR28 170868 Dessert topping semi solid frozen cup=75g,explicit_sr28_portion
non-dairy whipped topping,cup,75.0,SR28 whipped topping cup,,,SR28 170868 Dessert topping semi solid frozen cup=75g,explicit_sr28_portion
frozen whipped topping,cup,75.0,SR28 whipped topping cup,,,SR28 170868 Dessert topping semi solid frozen cup=75g,explicit_sr28_portion
thawed whipped topping,cup,75.0,SR28 whipped topping cup,,,SR28 170868 Dessert topping semi solid frozen cup=75g,explicit_sr28_portion
pure maple syrup,tbsp,20.0,SR28 maple tbsp,,,SR28 169661 Syrups maple tbsp=20g,explicit_sr28_portion
pure maple syrup,tsp,6.7,reviewed tsp from SR28 tbsp,,,SR28 169661 Syrups maple tbsp=20g,derived_from_sr28_adjacent_portions
pure maple syrup,cup,315.0,SR28 maple cup,,,SR28 169661 Syrups maple cup=315g,explicit_sr28_portion
tortilla chips,cup,28.0,reviewed crushed tortilla chips cup,,,Corpus modal for crushed tortilla chips cup is 25-30g; reviewed default 28g,reviewed_household_default
prosciutto,slice,14.2,reviewed explicit prosciutto slice,about|oz,,Recipe text with about 2 oz total over 4 slices implies 14.2g per slice,reviewed_household_default
whole cloves,clove,0.5,reviewed whole clove,,,Corpus modal for whole clove spice is 0.5g per clove,reviewed_household_default
ground cloves,dash,0.26,reviewed dash from SR28 tsp,,,SR28 171321 ground cloves tsp=2.1g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
ground clove,dash,0.26,reviewed dash from SR28 tsp,,,SR28 171321 ground cloves tsp=2.1g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
creole seasoning,tbsp,6.0,reviewed spice blend tbsp,,,No exact SR28 food; corpus modal for Creole seasoning tbsp is 6g,reviewed_household_default
creole seasoning,tsp,2.0,reviewed spice blend tsp,,,Derived from reviewed Creole seasoning tbsp=6g,reviewed_household_default
herbes de provence,tsp,1.0,reviewed dried herb blend tsp,,,Dried leafy herb blends align with SR28 parsley/mint tsp portions near 0.5-1g,reviewed_household_default
liquid smoke,tsp,5.0,reviewed liquid smoke tsp,,,Recipe corpus modal for liquid smoke tsp is 5g,reviewed_household_default
liquid smoke flavoring,tsp,5.0,reviewed liquid smoke tsp,,,Recipe corpus modal for liquid smoke flavoring tsp is 5g,reviewed_household_default
whole wheat flour,tbsp,7.5,reviewed tbsp from SR28 cup,,,SR28 168893 whole wheat flour cup=120g,derived_from_sr28_adjacent_portions
wheat germ,tbsp,7.2,reviewed tbsp from SR28 cup,,,SR28 168892 wheat germ cup=115g,derived_from_sr28_adjacent_portions
slivered almonds,tbsp,6.8,reviewed tbsp from SR28 cup slivered,,,SR28 170567 almonds cup slivered=108g,derived_from_sr28_adjacent_portions
sunflower seeds,tbsp,8.8,reviewed tbsp from SR28 cup,,,SR28 170562 sunflower seed kernels cup=140g,derived_from_sr28_adjacent_portions
unflavored gelatin,tsp,2.3,reviewed tsp from SR28 envelope tbsp,,,SR28 169599 unsweetened gelatin envelope (1 tbsp)=7g,derived_from_sr28_adjacent_portions
chili flakes,tsp,1.8,SR28 cayenne tsp,,,SR28 170932 red/cayenne pepper tsp=1.8g,explicit_sr28_portion
chili flakes,tbsp,5.3,SR28 cayenne tbsp,,,SR28 170932 red/cayenne pepper tbsp=5.3g,explicit_sr28_portion
chili flakes,dash,0.23,reviewed dash from SR28 tsp,,,SR28 170932 red/cayenne pepper tsp=1.8g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
dried chili flakes,tsp,1.8,SR28 cayenne tsp,,,SR28 170932 red/cayenne pepper tsp=1.8g,explicit_sr28_portion
dried chili flakes,tbsp,5.3,SR28 cayenne tbsp,,,SR28 170932 red/cayenne pepper tbsp=5.3g,explicit_sr28_portion
dried mint,tsp,0.5,SR28 dried spearmint tsp,,,SR28 172239 Spearmint dried tsp=0.5g,explicit_sr28_portion
dried mint,tbsp,1.6,SR28 dried spearmint tbsp,,,SR28 172239 Spearmint dried tbsp=1.6g,explicit_sr28_portion
dried mint flakes,tsp,0.5,SR28 dried spearmint tsp,,,SR28 172239 Spearmint dried tsp=0.5g,explicit_sr28_portion
dried mint flakes,tbsp,1.6,SR28 dried spearmint tbsp,,,SR28 172239 Spearmint dried tbsp=1.6g,explicit_sr28_portion
mint flakes,tsp,0.5,SR28 dried spearmint tsp,,,SR28 172239 Spearmint dried tsp=0.5g,explicit_sr28_portion
mint flakes,tbsp,1.6,SR28 dried spearmint tbsp,,,SR28 172239 Spearmint dried tbsp=1.6g,explicit_sr28_portion
lemon,slice,10.0,reviewed citrus slice,,,Corpus modal for lemon slice is 10g,reviewed_household_default
orange,slice,10.0,reviewed citrus slice,,,Corpus modal for orange slice is 10g,reviewed_household_default
lime,slice,10.0,reviewed citrus slice,,,Corpus modal for lime slice is 10g,reviewed_household_default
water,tbsp,14.8,reviewed tbsp from SR28 fl oz,,,SR28 water fl oz=29.6g; tbsp is 1/2 fl oz,derived_from_sr28_adjacent_portions
cold water,tbsp,14.8,reviewed tbsp from SR28 fl oz,,,SR28 water fl oz=29.6g; tbsp is 1/2 fl oz,derived_from_sr28_adjacent_portions
hot water,tbsp,14.8,reviewed tbsp from SR28 fl oz,,,SR28 water fl oz=29.6g; tbsp is 1/2 fl oz,derived_from_sr28_adjacent_portions
warm water,tbsp,14.8,reviewed tbsp from SR28 fl oz,,,SR28 water fl oz=29.6g; tbsp is 1/2 fl oz,derived_from_sr28_adjacent_portions
boiling water,tbsp,14.8,reviewed tbsp from SR28 fl oz,,,SR28 water fl oz=29.6g; tbsp is 1/2 fl oz,derived_from_sr28_adjacent_portions
cloves,clove,0.5,reviewed whole clove,,,Corpus modal for whole clove spice is 0.5g per clove,reviewed_household_default
feta cheese,tbsp,9.4,reviewed tbsp from SR28 cup crumbled,,,SR28 173420 feta cup crumbled=150g,derived_from_sr28_adjacent_portions
dry breadcrumbs,tbsp,6.8,reviewed tbsp from SR28 cup,,,SR28 174928 bread crumbs cup=108g,derived_from_sr28_adjacent_portions
plain breadcrumbs,tbsp,6.8,reviewed tbsp from SR28 cup,,,SR28 174928 bread crumbs cup=108g,derived_from_sr28_adjacent_portions
dried herbs,tsp,1.0,reviewed dried herb blend tsp,,,Dried leafy herb blends align with SR28 parsley/mint tsp portions near 0.5-1g,reviewed_household_default
mixed herbs,tsp,1.0,reviewed dried herb blend tsp,,,Dried leafy herb blends align with SR28 parsley/mint tsp portions near 0.5-1g,reviewed_household_default
chinese five spice powder,tsp,2.0,reviewed spice blend tsp,,,No exact SR28 food; corpus secondary mode and spice blend densities support 2g per tsp,reviewed_household_default
dried cilantro,tsp,0.5,reviewed dried cilantro tsp,,,No exact SR28 food; dried leafy herbs align with parsley/mint near 0.5g per tsp,reviewed_household_default
instant minced onion,tbsp,5.0,SR28 dehydrated onion tbsp,,,SR28 170002 onions dehydrated flakes tbsp=5g,explicit_sr28_portion
lemon pepper seasoning,tsp,2.5,reviewed lemon pepper tsp,,,Corpus modal and adjacent pepper-seasoning densities support about 2.5g per tsp,reviewed_household_default
*,oz,28.3495,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (generic_oz_mass_001),Generic ounce mass conversion.
*,lb,453.592,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (generic_lb_mass_001),Generic pound mass conversion.
egg,count,50,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (egg_count_001),Large egg edible portion estimate.
salt,tsp,6,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (salt_tsp_001),Table salt teaspoon gram conversion.
salt,tbsp,18,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (salt_tbsp_001),Table salt tablespoon gram conversion.
sugar,cup,200,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (sugar_cup_001),Granulated sugar cup conversion.
sugar,tbsp,12.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (sugar_tbsp_001),Granulated sugar tablespoon conversion.
sugar,tsp,4.2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (sugar_tsp_001),Granulated sugar teaspoon conversion.
brown sugar,cup,220,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (brown_sugar_cup_001),Packed brown sugar cup conversion.
brown sugar,tsp,4.6,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (brown_sugar_tsp_001),Packed brown sugar teaspoon conversion.
milk,cup,244,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (milk_cup_001),Dairy milk cup conversion.
milk,tbsp,15.25,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (milk_tbsp_001),Dairy milk tablespoon conversion.
milk,tsp,5.1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (milk_tsp_001),Dairy milk teaspoon conversion.
water,cup,240,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (water_cup_001),Water cup conversion.
water,tsp,5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (water_tsp_001),Water teaspoon conversion.
flour,cup,120,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (flour_cup_001),Unsifted flour cup conversion.
flour,tbsp,7.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (flour_tbsp_001),Flour tablespoon conversion.
flour,tsp,2.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (flour_tsp_001),Flour teaspoon conversion.
all-purpose flour,cup,120,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (all_purpose_flour_cup_001),All-purpose flour cup conversion.
all-purpose flour,tbsp,7.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (all_purpose_flour_tbsp_001),All-purpose flour tablespoon conversion.
all-purpose flour,tsp,2.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (all_purpose_flour_tsp_001),All-purpose flour teaspoon conversion.
cornmeal,cup,138,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (cornmeal_cup_001),Cornmeal cup conversion.
butter,cup,227,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (butter_cup_001),Butter cup conversion.
butter,tbsp,14.2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (butter_tbsp_001),Butter tablespoon conversion.
butter,tsp,4.7,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (butter_tsp_001),Butter teaspoon conversion.
butter,stick,113,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (butter_stick_001),US butter stick conversion.
olive oil,cup,218,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (olive_oil_cup_001),Olive oil cup conversion using oil density.
olive oil,tbsp,13.6,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (olive_oil_tbsp_001),Olive oil tablespoon conversion.
olive oil,tsp,4.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (olive_oil_tsp_001),Olive oil teaspoon conversion.
virgin olive oil,cup,218,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (virgin_olive_oil_cup_001),Extra virgin olive oil cup conversion using oil density.
virgin olive oil,tbsp,13.6,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (virgin_olive_oil_tbsp_001),Extra virgin olive oil tablespoon conversion.
virgin olive oil,tsp,4.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (virgin_olive_oil_tsp_001),Extra virgin olive oil teaspoon conversion.
vegetable oil,cup,218,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (vegetable_oil_cup_001),Vegetable oil cup conversion using oil density.
vegetable oil,tbsp,13.6,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (vegetable_oil_tbsp_001),Vegetable oil tablespoon conversion.
vegetable oil,tsp,4.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (vegetable_oil_tsp_001),Vegetable oil teaspoon conversion.
oil,cup,218,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (oil_cup_001),Generic cooking oil cup conversion using oil density.
oil,tbsp,13.6,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (oil_tbsp_001),Generic cooking oil tablespoon conversion.
oil,tsp,4.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (oil_tsp_001),Generic cooking oil teaspoon conversion.
sesame oil,tbsp,13.6,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (sesame_oil_tbsp_001),Sesame oil tablespoon conversion.
sesame oil,tsp,4.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (sesame_oil_tsp_001),Sesame oil teaspoon conversion.
sesame oil,cup,218,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (sesame_oil_cup_001),Sesame oil cup conversion.
mayonnaise,cup,230,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (mayonnaise_cup_001),Mayonnaise cup conversion.
mayonnaise,tbsp,14,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (mayonnaise_tbsp_001),Mayonnaise tablespoon conversion.
mayonnaise,tsp,4.7,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (mayonnaise_tsp_001),Mayonnaise teaspoon conversion.
sour cream,cup,230,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (sour_cream_cup_001),Sour cream cup conversion.
sour cream,tbsp,12,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (sour_cream_tbsp_001),Sour cream tablespoon conversion.
sour cream,tsp,4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (sour_cream_tsp_001),Sour cream teaspoon conversion.
honey,cup,340,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (honey_cup_001),Honey cup conversion.
honey,tbsp,21,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (honey_tbsp_001),Honey tablespoon conversion.
lemon juice,cup,244,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (lemon_juice_cup_001),Lemon juice cup conversion.
lemon juice,count,45,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (lemon_juice_count_001),One lemon juice yield estimate when line says lemon juice without unit.
