fdc_id,gtin_upc,title,branded_food_category,source,_corpus
SR28-167533,,"Bagels, wheat",18,sr28,nutrition_db
SR28-167534,,"Cream puff, eclair, custard or cream filled, iced",18,sr28,nutrition_db
SR28-167535,,"Tortillas, ready-to-bake or -fry, flour, shelf stable",18,sr28,nutrition_db
SR28-167536,,"Snacks, beef jerky, chopped and formed",23,sr28,nutrition_db
SR28-167537,,"Snacks, corn-based, extruded, chips, plain",23,sr28,nutrition_db
SR28-167538,,"Snacks, corn-based, extruded, chips, barbecue-flavor",23,sr28,nutrition_db
SR28-167539,,"Snacks, corn-based, extruded, cones, plain",23,sr28,nutrition_db
SR28-167540,,"Snacks, fruit leather, pieces",19,sr28,nutrition_db
SR28-167541,,"Snacks, fruit leather, rolls",19,sr28,nutrition_db
SR28-167542,,"Snacks, granola bars, hard, plain",23,sr28,nutrition_db
SR28-167543,,"Snacks, granola bars, hard, almond",23,sr28,nutrition_db
SR28-167544,,"Snacks, granola bars, soft, uncoated, raisin",23,sr28,nutrition_db
SR28-167545,,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",23,sr28,nutrition_db
SR28-167546,,"Candies, honey-combed, with peanut butter",19,sr28,nutrition_db
SR28-167547,,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",23,sr28,nutrition_db
SR28-167548,,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",23,sr28,nutrition_db
SR28-167549,,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",23,sr28,nutrition_db
SR28-167550,,"Snacks, popcorn, cakes",23,sr28,nutrition_db
SR28-167551,,"Snacks, popcorn, caramel-coated, with peanuts",23,sr28,nutrition_db
SR28-167552,,"Snacks, popcorn, caramel-coated, without peanuts",23,sr28,nutrition_db
SR28-167553,,"Snacks, potato chips, made from dried potatoes, reduced fat",23,sr28,nutrition_db
SR28-167554,,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",23,sr28,nutrition_db
SR28-167555,,"Snacks, pretzels, hard, plain, salted",23,sr28,nutrition_db
SR28-167556,,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",23,sr28,nutrition_db
SR28-167557,,"Snacks, rice cakes, brown rice, sesame seed",23,sr28,nutrition_db
SR28-167558,,"Snacks, tortilla chips, plain, white corn, salted",23,sr28,nutrition_db
SR28-167559,,"Snacks, tortilla chips, nacho cheese",23,sr28,nutrition_db
SR28-167560,,"Snacks, tortilla chips, ranch-flavor",23,sr28,nutrition_db
SR28-167561,,"Snacks, trail mix, regular",23,sr28,nutrition_db
SR28-167562,,"Candies, ALMOND JOY Candy Bar",19,sr28,nutrition_db
SR28-167563,,"Candies, TWIZZLERS CHERRY BITES",19,sr28,nutrition_db
SR28-167564,,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",19,sr28,nutrition_db
SR28-167565,,"Candies, NESTLE, BUTTERFINGER Bar",19,sr28,nutrition_db
SR28-167566,,"Candies, caramels, chocolate-flavor roll",19,sr28,nutrition_db
SR28-167567,,"Baking chocolate, unsweetened, liquid",19,sr28,nutrition_db
SR28-167568,,"Baking chocolate, unsweetened, squares",19,sr28,nutrition_db
SR28-167569,,"Candies, confectioner's coating, yogurt",19,sr28,nutrition_db
SR28-167570,,"Candies, confectioner's coating, peanut butter",19,sr28,nutrition_db
SR28-167571,,"Candies, white chocolate",19,sr28,nutrition_db
SR28-167572,,"Ice creams, vanilla, light",19,sr28,nutrition_db
SR28-167573,,"Ice creams, vanilla, rich",19,sr28,nutrition_db
SR28-167574,,"Desserts, flan, caramel custard, prepared-from-recipe",19,sr28,nutrition_db
SR28-167575,,"Ice creams, vanilla",19,sr28,nutrition_db
SR28-167576,,"Ice creams, vanilla, light, soft-serve",19,sr28,nutrition_db
SR28-167577,,"Sherbet, orange",19,sr28,nutrition_db
SR28-167578,,"Candies, fudge, peanut butter, prepared-from-recipe",19,sr28,nutrition_db
SR28-167579,,"Candies, fudge, vanilla, prepared-from-recipe",19,sr28,nutrition_db
SR28-167580,,"Candies, fudge, vanilla with nuts",19,sr28,nutrition_db
SR28-167581,,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",19,sr28,nutrition_db
SR28-167582,,"Candies, NESTLE, BABY RUTH Bar",19,sr28,nutrition_db
SR28-167583,,"Candies, TWIZZLERS Strawberry Twists Candy",19,sr28,nutrition_db
SR28-167584,,"Syrups, table blends, pancake, with butter",19,sr28,nutrition_db
SR28-167585,,"Ice creams, chocolate, light",19,sr28,nutrition_db
SR28-167586,,"Candies, NESTLE, CHUNKY Bar",19,sr28,nutrition_db
SR28-167587,,"Candies, milk chocolate",19,sr28,nutrition_db
SR28-167588,,"Puddings, banana, dry mix, instant, prepared with 2% milk",19,sr28,nutrition_db
SR28-167589,,"Puddings, banana, dry mix, regular, prepared with 2% milk",19,sr28,nutrition_db
SR28-167590,,"Andrea's, Gluten Free Soft Dinner Roll",18,sr28,nutrition_db
SR28-167591,,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",18,sr28,nutrition_db
SR28-167592,,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",18,sr28,nutrition_db
SR28-167593,,"Glutino, Gluten Free Cookies, Vanilla Creme",18,sr28,nutrition_db
SR28-167594,,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",18,sr28,nutrition_db
SR28-167595,,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",18,sr28,nutrition_db
SR28-167596,,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",18,sr28,nutrition_db
SR28-167597,,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",18,sr28,nutrition_db
SR28-167598,,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",18,sr28,nutrition_db
SR28-167599,,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",18,sr28,nutrition_db
SR28-167600,,"Udi's, Gluten Free, Whole Grain Dinner Rolls",18,sr28,nutrition_db
SR28-167601,,"Van's, Gluten Free, Totally Original Pancakes",18,sr28,nutrition_db
SR28-167602,,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",11,sr28,nutrition_db
SR28-167603,,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",11,sr28,nutrition_db
SR28-167604,,"Potatoes, hash brown, refrigerated, unprepared",11,sr28,nutrition_db
SR28-167605,,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",11,sr28,nutrition_db
SR28-167606,,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",11,sr28,nutrition_db
SR28-167607,,"Moose, meat, raw (Alaska Native)",24,sr28,nutrition_db
SR28-167608,,"Mashu roots, raw (Alaska Native)",24,sr28,nutrition_db
SR28-167609,,"Moose, liver, braised (Alaska Native)",24,sr28,nutrition_db
SR28-167610,,"Seal, bearded (Oogruk), meat, raw (Alaska Native)",24,sr28,nutrition_db
SR28-167611,,"Oil, bearded seal (Oogruk) (Alaska Native)",24,sr28,nutrition_db
SR28-167612,,"Oopah (tunicate), whole animal (Alaska Native)",24,sr28,nutrition_db
SR28-167613,,"Owl, horned, flesh, raw (Alaska Native)",24,sr28,nutrition_db
SR28-167614,,"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",24,sr28,nutrition_db
SR28-167615,,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",24,sr28,nutrition_db
SR28-167616,,"Fish, salmon, king, chinook, liver (Alaska Native)",24,sr28,nutrition_db
SR28-167617,,"Duck, scoter, white-winged, meat (Alaska Native)",24,sr28,nutrition_db
SR28-167618,,"Sea cucumber, yane (Alaska Native)",24,sr28,nutrition_db
SR28-167619,,"Squirrel, ground, meat (Alaska Native)",24,sr28,nutrition_db
SR28-167620,,"Tea, tundra, herb and laborador combination (Alaska Native)",24,sr28,nutrition_db
SR28-167621,,"Walrus, meat, dried (Alaska Native)",24,sr28,nutrition_db
SR28-167622,,"Deer (venison), sitka, raw (Alaska Native)",24,sr28,nutrition_db
SR28-167623,,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",24,sr28,nutrition_db
SR28-167624,,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",24,sr28,nutrition_db
SR28-167625,,"Oil, whale, bowhead (Alaska Native)",24,sr28,nutrition_db
SR28-167626,,"Fish, whitefish, broad, liver (Alaska Native)",24,sr28,nutrition_db
SR28-167627,,"Mush, blue corn with ash (Navajo)",24,sr28,nutrition_db
SR28-167628,,"Cornmeal, blue (Navajo)",24,sr28,nutrition_db
SR28-167629,,"Melon, banana (Navajo)",24,sr28,nutrition_db
SR28-167630,,Chilchen (Red Berry Beverage) (Navajo),24,sr28,nutrition_db
SR28-167631,,"Corn, dried (Navajo)",24,sr28,nutrition_db
SR28-167632,,"Squash, Indian, cooked, boiled (Navajo)",24,sr28,nutrition_db
SR28-167633,,"Bread, kneel down (Navajo)",24,sr28,nutrition_db
SR28-167634,,"Mutton, cooked, roasted (Navajo)",24,sr28,nutrition_db
SR28-167635,,"Frybread, made with lard (Navajo)",24,sr28,nutrition_db
SR28-167636,,Tamales (Navajo),24,sr28,nutrition_db
SR28-167637,,"Stew, steamed corn (Navajo)",24,sr28,nutrition_db
SR28-167638,,"Fish, halibut, raw, with skin (Alaska Native)",24,sr28,nutrition_db
SR28-167639,,"Fish, salmon, coho (silver), raw (Alaska Native)",24,sr28,nutrition_db
SR28-167640,,"Blueberries, wild, raw (Alaska Native)",24,sr28,nutrition_db
SR28-167641,,"Oil, spotted seal (Alaska Native)",24,sr28,nutrition_db
SR28-167642,,"Fish, salmon, red, canned, bones removed (Alaska Native)",24,sr28,nutrition_db
SR28-167643,,"Fish, whitefish, eggs (Alaska Native)",24,sr28,nutrition_db
SR28-167644,,"Caribou, rump meat, half dried (Alaska Native)",24,sr28,nutrition_db
SR28-167645,,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",24,sr28,nutrition_db
SR28-167646,,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",24,sr28,nutrition_db
SR28-167647,,"Fish, salmon, king, with skin, kippered, (Alaska Native)",24,sr28,nutrition_db
SR28-167648,,"Fish, sheefish, raw (Alaska Native)",24,sr28,nutrition_db
SR28-167649,,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",24,sr28,nutrition_db
SR28-167650,,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",24,sr28,nutrition_db
SR28-167651,,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",24,sr28,nutrition_db
SR28-167652,,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",24,sr28,nutrition_db
SR28-167653,,"Corn, dried, yellow (Northern Plains Indians)",24,sr28,nutrition_db
SR28-167654,,"Smelt, dried (Alaska Native)",24,sr28,nutrition_db
SR28-167655,,"Frybread, made with lard (Apache)",24,sr28,nutrition_db
SR28-167656,,Corned beef and potatoes in tortilla (Apache),24,sr28,nutrition_db
SR28-167657,,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",25,sr28,nutrition_db
SR28-167658,,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",25,sr28,nutrition_db
SR28-167659,,"Restaurant, Latino, chicken and rice, entree, prepared",25,sr28,nutrition_db
SR28-167660,,"Restaurant, Latino, empanadas, beef, prepared",25,sr28,nutrition_db
SR28-167661,,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",25,sr28,nutrition_db
SR28-167662,,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",25,sr28,nutrition_db
SR28-167663,,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",25,sr28,nutrition_db
SR28-167664,,"Restaurant, Latino, tamale, corn",25,sr28,nutrition_db
SR28-167665,,"Restaurant, Mexican, spanish rice",25,sr28,nutrition_db
SR28-167666,,"Restaurant, Mexican, refried beans",25,sr28,nutrition_db
SR28-167667,,"Restaurant, Chinese, egg rolls, assorted",25,sr28,nutrition_db
SR28-167668,,"Restaurant, Chinese, fried rice, without meat",25,sr28,nutrition_db
SR28-167669,,"CRACKER BARREL, steak fries",25,sr28,nutrition_db
SR28-167670,,"CRACKER BARREL, grilled sirloin steak",25,sr28,nutrition_db
SR28-167671,,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",25,sr28,nutrition_db
SR28-167672,,"DENNY'S, french fries",25,sr28,nutrition_db
SR28-167673,,"DENNY'S, top sirloin steak",25,sr28,nutrition_db
SR28-167674,,"Restaurant, Chinese, lemon chicken",25,sr28,nutrition_db
SR28-167675,,"Restaurant, Chinese, general tso's chicken",25,sr28,nutrition_db
SR28-167676,,"Restaurant, Chinese, kung pao chicken",25,sr28,nutrition_db
SR28-167677,,"Restaurant, Chinese, vegetable lo mein, without meat",25,sr28,nutrition_db
SR28-167678,,"Restaurant, Chinese, chicken and vegetables",25,sr28,nutrition_db
SR28-167679,,"Restaurant, Chinese, orange chicken",25,sr28,nutrition_db
SR28-167680,,"Restaurant, Italian, spaghetti with meat sauce",25,sr28,nutrition_db
SR28-167681,,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",14,sr28,nutrition_db
SR28-167682,,"Pectin, liquid",19,sr28,nutrition_db
SR28-167683,,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",19,sr28,nutrition_db
SR28-167684,,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",4,sr28,nutrition_db
SR28-167685,,"Bologna, beef and pork, low fat",7,sr28,nutrition_db
SR28-167686,,"Milk dessert, frozen, milk-fat free, chocolate",19,sr28,nutrition_db
SR28-167687,,"Whipped topping, frozen, low fat",1,sr28,nutrition_db
SR28-167688,,"Cream substitute, powdered, light",1,sr28,nutrition_db
SR28-167689,,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",19,sr28,nutrition_db
SR28-167690,,"Babyfood, apple yogurt dessert, strained",3,sr28,nutrition_db
SR28-167691,,"Vegetable oil-butter spread, reduced calorie",4,sr28,nutrition_db
SR28-167692,,"Salad dressing, blue or roquefort cheese dressing, light",4,sr28,nutrition_db
SR28-167693,,"Salad dressing, french dressing, reduced calorie",4,sr28,nutrition_db
SR28-167694,,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",7,sr28,nutrition_db
SR28-167695,,"Mayonnaise, made with tofu",4,sr28,nutrition_db
SR28-167696,,"Frankfurter, beef, low fat",7,sr28,nutrition_db
SR28-167697,,"Milk, buttermilk, fluid, cultured, reduced fat",1,sr28,nutrition_db
SR28-167698,,"Pork sausage rice links, brown and serve, cooked",7,sr28,nutrition_db
SR28-167699,,"Salad dressing, blue or roquefort cheese dressing, fat-free",4,sr28,nutrition_db
SR28-167700,,"Salad Dressing, mayonnaise-like, fat-free",4,sr28,nutrition_db
SR28-167701,,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",19,sr28,nutrition_db
SR28-167702,,"Oil, flaxseed, cold pressed",4,sr28,nutrition_db
SR28-167703,,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",1,sr28,nutrition_db
SR28-167704,,"Salad dressing, bacon and tomato",4,sr28,nutrition_db
SR28-167705,,"Cheese, parmesan, low sodium",1,sr28,nutrition_db
SR28-167706,,"Jams, preserves, marmalade, reduced sugar",19,sr28,nutrition_db
SR28-167707,,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",14,sr28,nutrition_db
SR28-167708,,"Tomato and vegetable juice, low sodium",11,sr28,nutrition_db
SR28-167709,,"Turkey, wing, smoked, cooked, with skin, bone removed",5,sr28,nutrition_db
SR28-167710,,"Turkey, drumstick, smoked, cooked, with skin, bone removed",5,sr28,nutrition_db
SR28-167711,,"Beverages, Chocolate-flavored drink, whey and milk based",14,sr28,nutrition_db
SR28-167712,,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",10,sr28,nutrition_db
SR28-167713,,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",5,sr28,nutrition_db
SR28-167714,,"Hearts of palm, raw",11,sr28,nutrition_db
SR28-167715,,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",8,sr28,nutrition_db
SR28-167716,,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",1,sr28,nutrition_db
SR28-167717,,Yeast extract spread,11,sr28,nutrition_db
SR28-167718,,"Babyfood, juice, pear",3,sr28,nutrition_db
SR28-167719,,"Chicken, meatless, breaded, fried",16,sr28,nutrition_db
SR28-167720,,"Babyfood, meat, beef with vegetables, toddler",3,sr28,nutrition_db
SR28-167721,,"Frozen novelties, juice type, juice with cream",19,sr28,nutrition_db
SR28-167722,,Tofu yogurt,16,sr28,nutrition_db
SR28-167723,,"Alcoholic beverage, rice (sake)",14,sr28,nutrition_db
SR28-167724,,"Millet, puffed",8,sr28,nutrition_db
SR28-167725,,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",8,sr28,nutrition_db
SR28-167726,,"Babyfood, mixed fruit yogurt, strained",3,sr28,nutrition_db
SR28-167727,,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",14,sr28,nutrition_db
SR28-167728,,"Babyfood, rice and apples, dry",3,sr28,nutrition_db
SR28-167729,,"Babyfood, juice, apple - cherry",3,sr28,nutrition_db
SR28-167730,,"Milk, imitation, non-soy",1,sr28,nutrition_db
SR28-167731,,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",3,sr28,nutrition_db
SR28-167732,,"Babyfood, banana no tapioca, strained",3,sr28,nutrition_db
SR28-167733,,"Babyfood, banana apple dessert, strained",3,sr28,nutrition_db
SR28-167734,,"Breakfast bar, corn flake crust with fruit",23,sr28,nutrition_db
SR28-167735,,"Cheese, mozzarella, low sodium",1,sr28,nutrition_db
SR28-167736,,"Mayonnaise dressing, no cholesterol",4,sr28,nutrition_db
SR28-167737,,"Oil, corn, peanut, and olive",4,sr28,nutrition_db
SR28-167738,,"Pie fillings, blueberry, canned",19,sr28,nutrition_db
SR28-167739,,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",14,sr28,nutrition_db
SR28-167740,,"Puddings, chocolate flavor, low calorie, regular, dry mix",19,sr28,nutrition_db
SR28-167741,,"Puddings, all flavors except chocolate, low calorie, regular, dry mix",19,sr28,nutrition_db
SR28-167742,,"Mollusks, scallop, (bay and sea), cooked, steamed",15,sr28,nutrition_db
SR28-167743,,"Syrup, Cane",19,sr28,nutrition_db
SR28-167744,,"Mollusks, snail, raw",15,sr28,nutrition_db
SR28-167745,,"Turtle, green, raw",15,sr28,nutrition_db
SR28-167746,,"Lemons, raw, without peel",9,sr28,nutrition_db
SR28-167747,,"Lemon juice, raw",9,sr28,nutrition_db
SR28-167748,,"Lemon juice from concentrate, canned or bottled",9,sr28,nutrition_db
SR28-167749,,"Lemon peel, raw",9,sr28,nutrition_db
SR28-167750,,"Prickly pears, raw",9,sr28,nutrition_db
SR28-167751,,"Plums, dried (prunes), stewed, without added sugar",9,sr28,nutrition_db
SR28-167752,,"Plums, dried (prunes), stewed, with added sugar",9,sr28,nutrition_db
SR28-167753,,"Prune juice, canned",9,sr28,nutrition_db
SR28-167754,,"Pummelo, raw",9,sr28,nutrition_db
SR28-167755,,"Raspberries, raw",9,sr28,nutrition_db
SR28-167756,,"Raspberries, canned, red, heavy syrup pack, solids and liquids",9,sr28,nutrition_db
SR28-167757,,"Raspberries, frozen, red, sweetened",9,sr28,nutrition_db
SR28-167758,,"Rhubarb, raw",9,sr28,nutrition_db
SR28-167759,,"Sapodilla, raw",9,sr28,nutrition_db
SR28-167760,,"Sapote, mamey, raw",9,sr28,nutrition_db
SR28-167761,,"Soursop, raw",9,sr28,nutrition_db
SR28-167762,,"Strawberries, raw",9,sr28,nutrition_db
SR28-167763,,"Tamarinds, raw",9,sr28,nutrition_db
SR28-167764,,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",9,sr28,nutrition_db
SR28-167765,,"Watermelon, raw",9,sr28,nutrition_db
SR28-167766,,"Maraschino cherries, canned, drained",9,sr28,nutrition_db
SR28-167767,,"Pineapple, canned, juice pack, drained",9,sr28,nutrition_db
SR28-167768,,"Apricots, canned, heavy syrup, drained",9,sr28,nutrition_db
SR28-167769,,"Cherries, sour, canned, water pack, drained",9,sr28,nutrition_db
SR28-167770,,"Cherries, sweet, canned, pitted, heavy syrup, drained",9,sr28,nutrition_db
SR28-167771,,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",9,sr28,nutrition_db
SR28-167772,,"Applesauce, canned, unsweetened, with added ascorbic acid",9,sr28,nutrition_db
SR28-167773,,"Applesauce, canned, sweetened, with salt",9,sr28,nutrition_db
SR28-167774,,"Grapefruit juice, pink, raw",9,sr28,nutrition_db
SR28-167775,,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",9,sr28,nutrition_db
SR28-167776,,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",9,sr28,nutrition_db
SR28-167777,,"Pears, raw, red anjou",9,sr28,nutrition_db
SR28-167778,,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",9,sr28,nutrition_db
SR28-167779,,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",9,sr28,nutrition_db
SR28-167780,,Prune puree,9,sr28,nutrition_db
SR28-167781,,Candied fruit,9,sr28,nutrition_db
SR28-167782,,"Abiyuch, raw",9,sr28,nutrition_db
SR28-167783,,"Rowal, raw",9,sr28,nutrition_db
SR28-167784,,"Guava nectar, canned, with added ascorbic acid",9,sr28,nutrition_db
SR28-167785,,"Mango nectar, canned",9,sr28,nutrition_db
SR28-167786,,"Tamarind nectar, canned",9,sr28,nutrition_db
SR28-167787,,"Pomegranate juice, bottled",9,sr28,nutrition_db
SR28-167788,,"Nance, canned, syrup, drained",9,sr28,nutrition_db
SR28-167789,,"Nance, frozen, unsweetened",9,sr28,nutrition_db
SR28-167790,,"Naranjilla (lulo) pulp, frozen, unsweetened",9,sr28,nutrition_db
SR28-167791,,Horned melon (Kiwano),9,sr28,nutrition_db
SR28-167792,,Orange Pineapple Juice Blend,9,sr28,nutrition_db
SR28-167793,,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",9,sr28,nutrition_db
SR28-167794,,"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",9,sr28,nutrition_db
SR28-167795,,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",9,sr28,nutrition_db
SR28-167796,,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",9,sr28,nutrition_db
SR28-167797,,"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",9,sr28,nutrition_db
SR28-167798,,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",9,sr28,nutrition_db
SR28-167799,,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",9,sr28,nutrition_db
SR28-167800,,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",9,sr28,nutrition_db
SR28-167801,,"Lemon juice from concentrate, bottled, CONCORD",9,sr28,nutrition_db
SR28-167802,,"Lemon juice from concentrate, bottled, REAL LEMON",9,sr28,nutrition_db
SR28-167803,,"Cranberry sauce, whole, canned, OCEAN SPRAY",9,sr28,nutrition_db
SR28-167804,,"Cranberry sauce, jellied, canned, OCEAN SPRAY",9,sr28,nutrition_db
SR28-167805,,"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",9,sr28,nutrition_db
SR28-167806,,Baobab powder,9,sr28,nutrition_db
SR28-167807,,"Cherry juice, tart",9,sr28,nutrition_db
SR28-167808,,"Raspberries, puree, seedless",9,sr28,nutrition_db
SR28-167809,,"Raspberries, puree, with seeds",9,sr28,nutrition_db
SR28-167810,,"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",10,sr28,nutrition_db
SR28-167811,,"Pork, fresh, backfat, raw",10,sr28,nutrition_db
SR28-167812,,"Pork, fresh, belly, raw",10,sr28,nutrition_db
SR28-167813,,"Pork, fresh, separable fat, raw",10,sr28,nutrition_db
SR28-167814,,"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",10,sr28,nutrition_db
SR28-167815,,"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted",10,sr28,nutrition_db
SR28-167816,,"Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)",10,sr28,nutrition_db
SR28-167817,,"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted",10,sr28,nutrition_db
SR28-167818,,"Pork, fresh, loin, whole, separable lean and fat, raw",10,sr28,nutrition_db
SR28-167819,,"Pork, fresh, loin, whole, separable lean and fat, cooked, braised",10,sr28,nutrition_db
SR28-167820,,"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",10,sr28,nutrition_db
SR28-167821,,"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted",10,sr28,nutrition_db
SR28-167822,,"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",10,sr28,nutrition_db
SR28-167823,,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised",10,sr28,nutrition_db
SR28-167824,,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled",10,sr28,nutrition_db
SR28-167825,,"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted",10,sr28,nutrition_db
SR28-167826,,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised",10,sr28,nutrition_db
SR28-167827,,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled",10,sr28,nutrition_db
