gtin_upc,fdc_id,product_description,retail_type,supercategory,category_group,category,primary_food,form,cut,prep_state,storage,flavor,flavor_blend,inclusions,claims,dish_type,pack_format,components,retail_leaf,confidence,needs_review,debug_matches
25293003637,2086463,"ORIGINAL ORGANIC ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""diet"":[""organic""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond"",""milk""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
25293003644,2466749,"ORIGINAL ORGANIC ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""diet"":[""organic""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond"",""milk""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
25293003774,2466758,"UNSWEET ORIGINAL ALMONDMILK, UNSWEET ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Plain Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
25293004498,2466402,"ORIGINAL ORGANIC ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""diet"":[""organic""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond"",""milk""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
25293005488,2157370,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
30034944216,2485250,ORIGINAL ALMONDMILK,single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
30034948634,2552042,"ORIGINAL PLANT-BASED ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""diet"":[""plant based""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""DIET"":[""plant based"",""plant""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""],""STOPWORD"":[""based""]}"
36632076144,2169512,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
36632078063,2303129,"ORIGINAL EXTRA CREAMY ALMONDMILK, ORIGINAL EXTRA CREAMY",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,creamy,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""],""PREPARATION_STATE"":[""extra"",""creamy""],""STOPWORD"":[""extra""]}"
36632079824,2667729,"ORIGINAL ALMOND SMOOTH AND SERIOUSLY CREAMY ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,smooth,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""almond"",""milk""],""FORM"":[""milk""],""PREPARATION_STATE"":[""smooth"",""creamy""],""STOPWORD"":[""and""]}"
36800312784,1513582,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
36800335004,2242391,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
36800422223,964619,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
39614419830,2482524,"ORIGINAL ALMONDMILK BEVERAGE, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk"",""beverage""],""STOPWORD"":[""beverage""]}"
41190465521,2620669,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
41220093144,2621133,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
41220093175,2621136,"UNSWEET ORIGINAL ALMONDMILK, UNSWEET ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Plain Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
41220850808,2621284,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
41220970452,2621366,"UNSWEET ORIGINAL ALMONDMILK, UNSWEET ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Plain Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
41303018552,2474975,ORIGINAL ALMONDMILK,single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
41497099054,2242230,"ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""almond"",""milk"",""original""],""FORM"":[""milk""]}"
41570052440,2500386,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
41570056172,2500392,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
41570057704,2500397,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
41570068274,2500399,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
41570094549,1898282,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
41570094556,1908162,"ORIGINAL LACTOSE FREE ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""diet"":[""lactose free""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""DIET"":[""lactose free"",""lactose"",""free""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""],""STOPWORD"":[""free""]}"
41570109632,2469263,"REDUCED SUGAR ORIGINAL ALMONDMILK, REDUCED SUGAR ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""fat"":[""reduced""],""sweetener"":[""sugar""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""sugar"",""almond"",""milk""],""FAT"":[""reduced""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""],""STOPWORD"":[""reduced""],""SWEETENER"":[""sugar""]}"
41570109922,2079904,"HINT OF HONEY ORIGINAL ALMONDMILK, HINT OF HONEY ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""sweetener"":[""honey""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""honey"",""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""hint"",""honey"",""original"",""almond"",""milk""],""FORM"":[""milk""],""STOPWORD"":[""of""],""SWEETENER"":[""honey""]}"
41570110140,1898281,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
41570110805,2079923,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
41570131220,2123715,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
42187900261,2621900,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
49705689134,2482797,"ORIGINAL ALMOND BREAK ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""almond"",""milk""],""FORM"":[""milk""]}"
49705969281,1890976,"ALMOND BREAK ALL NATURAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""diet"":[""natural""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""almond"",""milk""],""DIET"":[""natural""],""FLAVOR_UNIVERSAL"":[""almond"",""almond"",""milk"",""original""],""FORM"":[""milk""],""STOPWORD"":[""all natural"",""all""]}"
52548693282,2542320,"ORIGINAL ALMONDMILK DAIRY-FREE BEVERAGE, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""diet"":[""dairy free""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""DIET"":[""dairy free"",""dairy"",""free""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk"",""beverage""],""STOPWORD"":[""free"",""beverage""]}"
52603065009,2622349,"ORGANIC NON-DAIRY ALMOND BEVERAGE, ORIGINAL",single,Beverage,Beverages,Beverage,almond,beverage,,,,original,[],[],"{""diet"":[""organic""]}",,,[],Beverage > Beverages > Beverage > Original,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond""],""DIET"":[""organic"",""dairy""],""FLAVOR_UNIVERSAL"":[""almond"",""original""],""FORM"":[""beverage""],""STOPWORD"":[""non"",""beverage""]}"
52603067102,2136280,"ORIGINAL ORGANIC ALMOND NON-DAIRY BEVERAGE, ORIGINAL",single,Beverage,Beverages,Beverage,almond,beverage,,,,original,[],[],"{""diet"":[""organic""]}",,,[],Beverage > Beverages > Beverage > Original,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond""],""DIET"":[""organic"",""dairy""],""FLAVOR_UNIVERSAL"":[""original"",""almond""],""FORM"":[""beverage""],""STOPWORD"":[""non"",""beverage""]}"
70038644675,2474966,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
7203672074,2489655,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
7203672075,1906623,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
72036982001,2490538,"ORIGINAL ALMOND DRINK, ORIGINAL",single,Beverage,Beverages,Drink,almond,drink,,,,original,[],[],{},,,[],Beverage > Beverages > Drink > Original,1.0,[],"{""CATEGORY"":[""almond""],""FLAVOR_UNIVERSAL"":[""original"",""almond""],""FORM"":[""drink""],""STOPWORD"":[""drink""]}"
72036987549,2472324,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
75450060058,1374727,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
7789049027,2154879,"ORIGINAL SWEETENED ALMONDMILK, ORIGINAL SWEETENED",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""sweetener"":[""sweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""sweetened""]}"
7789053461,2272691,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
77890534618,2479424,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
78742052311,2524292,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
78742052328,2466562,"ORIGINAL UNSWEETEND ALMONDMILK, ORIGINAL UNSWEETEND",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
79893401621,2469737,"ORIGINAL ORGANIC PLANT-BASED NON-DAIRY ALMOND BEVERAGE, ORIGINAL",single,Beverage,Beverages,Beverage,almond,beverage,,,,original,[],[],"{""diet"":[""organic"",""plant based""]}",,,[],Beverage > Beverages > Beverage > Original,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond""],""DIET"":[""organic"",""plant based"",""plant"",""dairy""],""FLAVOR_UNIVERSAL"":[""original"",""almond""],""FORM"":[""beverage""],""STOPWORD"":[""based"",""non"",""beverage""]}"
85239042908,2660793,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
85239360057,2625797,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
85239601228,2636103,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
92202062009,2176369,"ORIGINAL ALMOND PLANT BASED BEVERAGE, ORIGINAL",single,Beverage,Beverages,Beverage,almond,beverage,,,,original,[],[],"{""diet"":[""plant based""]}",,,[],Beverage > Beverages > Beverage > Original,1.0,[],"{""CATEGORY"":[""almond""],""DIET"":[""plant based"",""plant""],""FLAVOR_UNIVERSAL"":[""original"",""almond""],""FORM"":[""beverage""],""STOPWORD"":[""based"",""beverage""]}"
