#token	notes
sachet	size
sachets	size
sticks	keep — form
stick	keep — form (cheese stick)
roll	keep — form
rolls	keep — form
log	noise (size)
logs	noise (size)
plastic	noise
glass	noise
foil	noise
bag	noise
bags	noise
sealable	noise
resealable	noise
zipper	noise
zip	noise
gallon	size
quart	size
half-gallon	size
litre	size
liter	size
recyclable	noise
biodegradable	noise
compostable	noise
made-in	noise
imported-from	noise
new	noise
fresh	keep — storage
freshly	keep — diet
made-fresh	noise
made-with	noise
made-by	noise
from	noise
from-scratch	noise
out-of	noise
straight-from	noise
straight	noise
right-from	noise
just	noise
exclusively	noise
uniquely	noise
specially	noise
specifically	noise
thoughtfully	noise
carefully	noise
expertly	noise
masterfully	noise
mindfully	noise
sustainably	noise
ethically	noise
responsibly	noise
sustainably-sourced	noise
responsibly-sourced	noise
nutritionally	noise
deliciously	noise
amazingly	noise
incredibly	noise
wonderfully	noise
beautifully	noise
gorgeously	noise
sinfully	noise
guiltlessly	noise
endlessly	noise
truly	noise
really	noise
absolutely	noise
positively	noise
wonderfully	noise
delightfully	noise
freshly	noise
finely	noise
roughly	noise
loosely	noise
tightly	noise
gently	noise
fully	keep — prep ('fully cooked')
partially	keep — prep ('partially cooked')
heavily	noise
slightly	noise
mostly	noise
mainly	noise
mostly	noise
mainly	noise
generally	noise
typically	noise
usually	noise
rarely	noise
seldom	noise
often	noise
sometimes	noise
always	noise
never	noise
ever	noise
forever	noise
nowadays	noise
today	noise
tomorrow	noise
yesterday	noise
recently	noise
soon	noise
later	noise
afterwards	noise
beforehand	noise
already	noise
yet	noise
still	keep — storage ('still water')
already	noise
absolutely	noise
quite	noise
rather	noise
fairly	noise
moderately	noise
extremely	noise
exceedingly	noise
exceptionally	noise
particularly	noise
especially	noise
notably	noise
remarkably	noise
strikingly	noise
distinctly	noise
clearly	noise
plainly	noise
obviously	noise
evidently	noise
apparently	noise
seemingly	noise
ostensibly	noise
clearly	noise
visibly	noise
audibly	noise
tangibly	noise
palpably	noise
significantly	noise
substantially	noise
considerably	noise
appreciably	noise
noticeably	noise
markedly	noise
distinctly	noise
indeed	noise
even	noise
well	noise
also	noise
moreover	noise
furthermore	noise
additionally	noise
besides	noise
besides	noise
but	noise
yet	noise
nevertheless	noise
nonetheless	noise
however	noise
still	keep — storage
though	noise
although	noise
even-though	noise
even	noise
whereas	noise
because	noise
since	noise
as	noise
when	noise
while	noise
where	noise
wherever	noise
whenever	noise
whatever	noise
whoever	noise
whichever	noise
how	noise
howsoever	noise
why	noise
what	noise
which	noise
who	noise
whom	noise
whose	noise
that	noise
this	noise
these	noise
those	noise
own	noise
self	noise
itself	noise
themselves	noise
ourselves	noise
yourself	noise
yourselves	noise
herself	noise
himself	noise
oneself	noise
each-other	noise
one-another	noise
between	noise
among	noise
throughout	noise
beyond	noise
within	noise
inside	noise
outside	noise
upon	noise
onto	noise
into	noise
unto	noise
until	noise
till	noise
since	noise
ago	noise
ahead	noise
behind	noise
along	noise
across	noise
through	noise
around	noise
about	noise
above	noise
below	noise
under	noise
over	noise
near	noise
far	noise
nearby	noise
nearest	noise
furthest	noise
farthest	noise
top	noise
bottom	noise
side	keep — form ('side dish')
sides	keep — form
front	noise
back	noise
forward	noise
backward	noise
upward	noise
downward	noise
inward	noise
outward	noise
sideways	noise
otherwise	noise
nationwide	noise
worldwide	noise
nation	noise
world	noise
universe	noise
universal	noise
global	noise
local	noise
regional	noise
national	noise
international	noise
domestic	noise
foreign	noise
imported	noise
exported	noise
homegrown	noise
locally-grown	noise
locally	noise
specialty	noise
specially	noise
generic	noise
brand-name	noise
brand	noise
private	noise
public	noise
exclusive	noise
inclusive	noise
selective	noise
choice	noise
preferred	noise
favored	noise
favorited	noise
recommended	noise
suggested	noise
proposed	noise
endorsed	noise
approved	noise
certified	keep — diet ('certified organic')
qualified	noise
graded	noise
rated	noise
ranked	noise
top-rated	noise
high-rated	noise
well-known	noise
famous	noise
celebrated	noise
acclaimed	noise
award-winning	noise
recognized	noise
respected	noise
trusted	noise
beloved	noise
adored	noise
loved	noise
appreciated	noise
valued	noise
prized	noise
treasured	noise
cherished	noise
favored	noise
preferred	noise
desired	noise
sought	noise
wanted	noise
hot	keep — flavor/storage
cold	keep — storage
warm	keep — storage
mild	keep — flavor
strong	noise
weak	noise
faint	noise
intense	noise
mild	keep — flavor
medium	keep — flavor
spicy	keep — flavor
hot	keep — flavor
sweet	keep — flavor/sweetener
salty	keep — sodium
sour	keep — flavor
bitter	noise
tart	keep — flavor
tangy	keep — flavor
savory	keep — flavor
umami	keep — flavor
mellow	keep — flavor
robust	noise
bold	noise
delicate	noise
subtle	noise
nuanced	noise
complex	noise
simple	noise
straightforward	noise
basic	noise
plain	keep — flavor
fancy	noise
elaborate	noise
ornate	noise
decorated	noise
plain	keep — flavor
fresh	keep — storage
freshness	noise
freshly	noise
freshest	noise
fresh-from	noise
fresh-cut	noise
fresh-baked	noise
fresh-made	noise
fresh-pressed	noise
fresh-roasted	noise
fresh-ground	noise
fresh-frozen	noise
made-with	noise
made-from	noise
made-by	noise
made-in	noise
crafted	noise
hand	noise
handcrafted	noise
hand-crafted	noise
hand-made	noise
handmade	noise
hand-baked	noise
hand-rolled	noise
hand-cut	keep — cut compound
hand-tossed	noise
hand-stretched	noise
hand-formed	noise
hand-pressed	noise
hand-pulled	noise
hand-shaped	noise
hand-stuffed	noise
hand-tossed	noise
hand-tied	noise
hand-rolled	noise
hand-chopped	noise
hand-picked	noise
hand-sliced	noise
hand-trimmed	noise
hand-rolled	noise
hand-mixed	noise
small-batch	noise
small-batch-crafted	noise
microbatch	noise
micro-batch	noise
artisanal	noise
artisan	noise
artisan-crafted	noise
artisan-made	noise
craft-brewed	noise
craft-made	noise
small-farm	noise
single-source	noise
single-origin	noise
single-estate	noise
estate	noise
estate-grown	noise
estate-bottled	noise
single-batch	noise
batch-made	noise
oz	size
fl	size
ml	size
gal	size
qt	size
pt	size
tbsp	size
tsp	size
gram	size
gms	size
kg	size
lbs	size
lb	size
ozs	size
ozs.	size
oz.	size
ml.	size
g	size
gr	size
lbs.	size
lb.	size
oz.	size
ml.	size
in	noise
in.	size
inch	size
inches	size
cm	size
mm	size
m	size
sq	size
square	size
cu	size
cubic	size
ct	size
ct.	size
each	size
ea	size
ea.	size
unit	size
units	size
gallons	size
gallon	size
quarts	size
quart	size
pints	size
pint	size
bottles	size
bottle	size
cans	size
can	size
case	size
cases	size
crate	size
crates	size
pack	size (combo too — keep)
packs	size
package	size
packages	size
serving	size
servings	size
container	size
containers	size
piece	size
pieces	size
slice	keep — cut
slices	keep — cut
sticks	keep — form
stick	keep — form
roll	keep — form
rolls	keep — form
boxes	size
box	size
bag	size
bags	size
plastic	size
glass	size
foil	size
sealable	noise
resealable	noise
zipper	noise
zip	noise
ozs	size
oz.	size
pkg	size
qt	size
qts	size
qty	size
upc	noise
gtin	noise
sku	noise
inc	corp
co	corp
corp	corp
corporation	corp
incorporated	corp
limited	corp
ltd	corp
holdings	corp
group	corp
plc	corp
gmbh	corp
us	noise
usa	noise
americas	noise
international	noise
global	noise
worldwide	noise
nationwide	noise
national	noise
regional	noise
local	noise
imported	noise
import	noise
export	noise
domestic	noise
foreign	noise
generic	noise
namebrand	noise
storebrand	noise
ownerbrand	noise
exclusive	noise
limited-edition	noise
specialedition	noise
specialty	noise
variety	noise (also combo)
varieties	noise
each	size
piece	size
pieces	size
package	size
packages	size
packet	size
packets	size
sachet	size
sachets	size
party	noise
sharingsize	size
familysize	size
goto	noise
go-to	noise
top	noise
selling	noise
choice	noise
favorites	noise
beloved	noise
yourway	noise
yum	noise
feed	noise
inspired	noise
adventure	noise
fun	noise
taste	noise
tastes	noise
flavor	noise (also flavor axis — leave there)
flavors	noise
limited	noise
released	noise
new	noise
edition	noise
release	noise
introducing	noise
since	noise
established	noise
est	noise
formula	noise
recipe	noise
homemade	noise
home	noise
country	keep — cuisine
homestyle	keep — cuisine
old	keep — paired with 'fashioned'
fashion	noise
fashioned	keep — old-fashioned
party	noise
giant	noise
super	noise
mega	noise
ultra	noise
maxi	noise
maximum	noise
minimum	noise
moderate	noise
medium	keep — flavor
small	noise
large	noise
mini	keep — cut
miniature	keep — cut
mid	noise
mid-size	noise
mid-sized	noise
mid-strength	noise
all	noise
some	noise
any	noise
each	noise
every	noise
several	noise
many	noise
few	noise
more	noise
most	noise
both	noise
neither	noise
either	noise
none	noise
nothing	noise
something	noise
anything	noise
everything	keep — flavor
nobody	noise
somebody	noise
anybody	noise
everybody	noise
no-one	noise
someone	noise
anyone	noise
everyone	noise
this	noise
that	noise
these	noise
those	noise
the	noise
a	noise
an	noise
and	noise
or	noise
but	noise
nor	noise
yet	noise
so	noise
not	noise
also	noise
if	noise
because	noise
since	noise
as	noise
when	noise
while	noise
unless	noise
until	noise
till	noise
in	noise
on	noise
at	noise
by	noise
for	noise
from	noise
to	noise
of	noise
with	keep — combo signal
without	noise
about	noise
above	noise
below	noise
across	noise
through	noise
into	noise
onto	noise
over	noise
under	noise
upon	noise
toward	noise
towards	noise
between	noise
among	noise
amongst	noise
during	noise
behind	noise
beside	noise
besides	noise
beyond	noise
within	noise
inside	noise
outside	noise
near	noise
nearby	noise
far	noise
faraway	noise
furthest	noise
farthest	noise
ago	noise
ahead	noise
forward	noise
backward	noise
sideways	noise
upward	noise
downward	noise
inward	noise
outward	noise
otherwise	noise
nation	noise
world	noise
universe	noise
universal	noise
assorted	assorted (marketing — variety)
kellogg	brand name (Kellogg's)
nature	nature (often marketing)
cooking	cooking (modifier — keep partial)
baking	baking (modifier — keep partial)
based	based (compound suffix — kept by 'plant based' compound)
purpose	purpose (compound 'all-purpose flour')
big	big (marketing — Big Bag, Big Pack)
restaurant	restaurant (marketing — restaurant style)
house	house (compound — house brand, in-house)
special	special (marketing)
very	very (modifier)
chocolaty	chocolaty alt-spelling — keep in flavor_universal too
nutrition	nutrition (claim — keep mostly in DIET)
nutritional	nutritional (claim — keep in DIET)
select	select (marketing)
assortment	assortment (marketing — variety)
quick	quick (marketing — quick oats kept in PREP)
thirst	thirst (marketing — thirst quencher)
blast	blast (marketing — flavor blast)
